Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s),NumSamples
cifar10,Robust,GreedyFool,0.2,False,10,0.6169999952316284,0.26722089638336255,298.38000170898437,0.7086132795810699,0.820177529335022,0.03137257695198059,0.9907783689498901,36.59450091552734,0.0024273409452289342,1.8790245056152344,1000
cifar10,Robust,Sparse-PGD,0.3,False,10,0.5689999980926513,0.3242280233005447,930.7049990234375,0.09110839939117432,1.3702377586364747,0.03137257695198059,0.971175591468811,32.12622006225586,0.0047983408421278,2.0664641857147217,1000
cifar10,Robust,GreedyFool,0.3,False,10,0.5629999980926513,0.33135390918781527,432.7569963378906,0.5773857457637787,0.9972230129241944,0.03137257695198059,0.9863688631057739,34.896932037353515,0.0035037819240242244,1.8855457305908203,1000
cifar10,Robust,Sparse-PGD,0.4,False,10,0.5840000047683716,0.3064133059808591,926.84900390625,0.09487401962280273,1.3466081771850587,0.03137257695198059,0.9711877479553223,32.28305596923828,0.004483916670084,2.080768346786499,1000
cifar10,Robust,GreedyFool,0.4,False,10,0.5309999995231628,0.36935866813478446,554.1229970703125,0.45886426067352293,1.1394270248413085,0.03137257695198059,0.9822084183692932,33.7390940246582,0.004424537762999534,1.891049861907959,1000
cifar10,Robust,Sparse-PGD,0.5,False,10,0.6000000023841858,0.2874109262596117,920.1209936523437,0.10144434213638305,1.3216951475143432,0.03137257695198059,0.9712277321815491,32.44731344604492,0.0041039052456617355,2.095442771911621,1000
cifar10,Robust,GreedyFool,0.5,False,10,0.5089999985694885,0.3954869291773884,665.5989965820313,0.3500009799003601,1.2614537315368652,0.03137257695198059,0.9781865377426148,32.85534078979492,0.005225011486560106,1.8989081382751465,1000
cifar10,Robust,Sparse-PGD,0.6,False,10,0.5169999961853027,0.3859857507669444,980.8019995117188,0.04218554735183716,1.4824312496185303,0.03137257695198059,0.9676247138977051,31.43392170715332,0.00597734259814024,2.1014809608459473,1000
cifar10,Robust,GreedyFool,0.6,False,10,0.4890000009536743,0.4192399024043117,764.93699609375,0.25299121475219727,1.3660866432189942,0.03137257695198059,0.974400360584259,32.16315341186523,0.005917566761374474,1.9006531238555908,1000
cifar10,Robust,Sparse-PGD,0.7,False,10,0.5119999961853028,0.3919239845171111,981.828001953125,0.041183591842651364,1.4859448881149293,0.03137257695198059,0.9679399800300598,31.43197268676758,0.006137535080313682,2.126359224319458,1000
